HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"REDLANDS COMMUNITY HOSPITAL","050272","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CONTRA COSTA REGIONAL MEDICAL CENTER","050276","CA","READM-30-HF-HRRP","128","","0.9377","20.3","21.6","22","01-JUL-13","30-JUN-16"
"PROVIDENCE HOLY CROSS MEDICAL CENTER","050278","CA","READM-30-AMI-HRRP","111","","0.9863","18.0","18.2","19","01-JUL-13","30-JUN-16"
"PROVIDENCE HOLY CROSS MEDICAL CENTER","050278","CA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HI-DESERT MEDICAL CENTER","050279","CA","READM-30-COPD-HRRP","118","","1.0666","19.0","17.8","27","01-JUL-13","30-JUN-16"
"HI-DESERT MEDICAL CENTER","050279","CA","READM-30-HIP-KNEE-HRRP","Not Available","","1.0932","4.7","4.3","Too Few to Report","01-JUL-13","30-JUN-16"
"MERCY MEDICAL CENTER REDDING","050280","CA","READM-30-AMI-HRRP","383","","0.9409","13.0","13.8","46","01-JUL-13","30-JUN-16"
"MERCY MEDICAL CENTER REDDING","050280","CA","READM-30-CABG-HRRP","148","","0.8235","11.1","13.5","11","01-JUL-13","30-JUN-16"
"ALHAMBRA HOSPITAL MEDICAL CENTER","050281","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SIERRA NEVADA MEMORIAL HOSPITAL","050150","CA","READM-30-PN-HRRP","531","","1.0295","16.1","15.6","87","01-JUL-13","30-JUN-16"
"ENCINO HOSPITAL MEDICAL CENTER","050158","CA","READM-30-COPD-HRRP","Not Available","","0.9879","19.6","19.8","Too Few to Report","01-JUL-13","30-JUN-16"
"ENCINO HOSPITAL MEDICAL CENTER","050158","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VENTURA COUNTY MEDICAL CENTER","050159","CA","READM-30-AMI-HRRP","Not Available","","1.0511","16.4","15.7","Too Few to Report","01-JUL-13","30-JUN-16"
"VENTURA COUNTY MEDICAL CENTER","050159","CA","READM-30-PN-HRRP","144","","0.9942","15.5","15.6","22","01-JUL-13","30-JUN-16"
"PRESBYTERIAN INTERCOMMUNITY HOSPITAL","050169","CA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SANTA ROSA MEMORIAL HOSPITAL","050174","CA","READM-30-HIP-KNEE-HRRP","853","","0.8668","3.7","4.3","29","01-JUL-13","30-JUN-16"
"ST MARY MEDICAL CENTER","050191","CA","READM-30-HF-HRRP","121","","0.9814","23.3","23.7","27","01-JUL-13","30-JUN-16"
"ST MARY MEDICAL CENTER","050191","CA","READM-30-HIP-KNEE-HRRP","Not Available","","1.0521","4.2","4.0","Too Few to Report","01-JUL-13","30-JUN-16"
"WATSONVILLE COMMUNITY HOSPITAL","050194","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAKERSFIELD MEMORIAL HOSPITAL","050036","CA","READM-30-HF-HRRP","334","","1.0553","23.2","22.0","81","01-JUL-13","30-JUN-16"
"BAKERSFIELD MEMORIAL HOSPITAL","050036","CA","READM-30-HIP-KNEE-HRRP","Not Available","","1.0409","4.1","3.9","Too Few to Report","01-JUL-13","30-JUN-16"
"SAN FRANCISCO GENERAL HOSPITAL","050228","CA","READM-30-COPD-HRRP","107","","1.0486","20.1","19.2","25","01-JUL-13","30-JUN-16"
"GARDEN GROVE HOSPITAL & MEDICAL CENTER","050230","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"POMONA VALLEY HOSPITAL MEDICAL CENTER","050231","CA","READM-30-CABG-HRRP","Not Available","","1.0282","13.5","13.1","Too Few to Report","01-JUL-13","30-JUN-16"
"FRENCH HOSPITAL MEDICAL CENTER","050232","CA","READM-30-CABG-HRRP","Not Available","","0.9180","11.6","12.6","Too Few to Report","01-JUL-13","30-JUN-16"
"ADVENTIST HEALTH SIMI VALLEY","050236","CA","READM-30-COPD-HRRP","238","","1.0125","22.7","22.4","55","01-JUL-13","30-JUN-16"
"METHODIST HOSPITAL OF SOUTHERN CA","050238","CA","READM-30-CABG-HRRP","Not Available","","0.9727","14.5","14.9","Too Few to Report","01-JUL-13","30-JUN-16"
"DESERT REGIONAL MEDICAL CENTER","050243","CA","READM-30-COPD-HRRP","201","","0.9796","18.6","19.0","36","01-JUL-13","30-JUN-16"
"NATIVIDAD MEDICAL CENTER","050248","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MARSHALL MEDICAL CENTER","050254","CA","READM-30-AMI-HRRP","Not Available","","0.9942","18.8","18.9","Too Few to Report","01-JUL-13","30-JUN-16"
"MERCY GILBERT MEDICAL CENTER","030119","AZ","READM-30-AMI-HRRP","115","","0.9962","15.9","15.9","18","01-JUL-13","30-JUN-16"
"GILBERT HOSPITAL","030120","AZ","READM-30-COPD-HRRP","Not Available","","0.9866","15.8","16.0","Too Few to Report","01-JUL-13","30-JUN-16"
"MOUNTAIN VISTA MEDICAL CENTER, LP","030121","AZ","READM-30-CABG-HRRP","Not Available","","1.0507","13.6","12.9","Too Few to Report","01-JUL-13","30-JUN-16"
"BANNER GATEWAY MEDICAL CENTER","030122","AZ","READM-30-COPD-HRRP","164","","0.9630","16.9","17.5","25","01-JUL-13","30-JUN-16"
"ST VINCENT'S CHILTON","010173","AL","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PROVIDENCE ALASKA MEDICAL CENTER","020001","AK","READM-30-CABG-HRRP","118","","0.8939","12.1","13.5","11","01-JUL-13","30-JUN-16"
"ALASKA REGIONAL HOSPITAL","020017","AK","READM-30-CABG-HRRP","Not Available","","1.0030","13.3","13.3","Too Few to Report","01-JUL-13","30-JUN-16"
"YUKON KUSKOKWIM DELTA REG HOSPITAL","020018","AK","READM-30-HF-HRRP","Not Available","","0.9729","19.4","20.0","Too Few to Report","01-JUL-13","30-JUN-16"
"CENTRAL PENINSULA GENERAL HOSPITAL","020024","AK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ABRAZO MARYVALE CAMPUS","030001","AZ","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","030002","AZ","READM-30-AMI-HRRP","266","","0.9201","14.8","16.1","34","01-JUL-13","30-JUN-16"
"ST JOSEPH'S HOSPITAL","030011","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SHARP MEMORIAL HOSPITAL","050100","CA","READM-30-HIP-KNEE-HRRP","469","","0.8791","3.7","4.2","15","01-JUL-13","30-JUN-16"
"WHITE MEMORIAL MEDICAL CENTER","050103","CA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WHITE MEMORIAL MEDICAL CENTER","050103","CA","READM-30-HF-HRRP","143","","1.0200","25.7","25.2","38","01-JUL-13","30-JUN-16"
"SAINT FRANCIS MEDICAL CENTER","050104","CA","READM-30-AMI-HRRP","61","","0.9945","18.6","18.7","11","01-JUL-13","30-JUN-16"
"SAINT FRANCIS MEDICAL CENTER","050104","CA","READM-30-HF-HRRP","200","","0.9714","22.9","23.6","44","01-JUL-13","30-JUN-16"
"SUTTER MEDICAL CENTER, SACRAMENTO","050108","CA","READM-30-AMI-HRRP","548","","0.9623","15.4","16.0","82","01-JUL-13","30-JUN-16"
"SUTTER MEDICAL CENTER, SACRAMENTO","050108","CA","READM-30-COPD-HRRP","314","","1.0671","21.7","20.3","73","01-JUL-13","30-JUN-16"
"LOMPOC VALLEY MEDICAL CENTER","050110","CA","READM-30-HIP-KNEE-HRRP","Not Available","","1.0098","4.2","4.1","Too Few to Report","01-JUL-13","30-JUN-16"
"SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","050112","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO","050070","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL AND REHAB CENTER","050073","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND","050075","CA","READM-30-COPD-HRRP","50","","1.0058","21.1","21.0","11","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","050076","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SCRIPPS MERCY HOSPITAL","050077","CA","READM-30-AMI-HRRP","223","","0.9706","14.8","15.2","31","01-JUL-13","30-JUN-16"
"SCRIPPS MERCY HOSPITAL","050077","CA","READM-30-CABG-HRRP","67","","1.1937","14.8","12.4","15","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL OF SAN BERNARDINO","050089","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SONOMA VALLEY HOSPITAL","050090","CA","READM-30-COPD-HRRP","Not Available","","0.9452","18.6","19.7","Too Few to Report","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL OF HUNTINGTON PARK","050091","CA","READM-30-COPD-HRRP","111","","1.0369","24.5","23.6","30","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL OF HUNTINGTON PARK","050091","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAINT AGNES MEDICAL CENTER","050093","CA","READM-30-CABG-HRRP","Not Available","","0.7822","10.3","13.2","Too Few to Report","01-JUL-13","30-JUN-16"
"SAINT AGNES MEDICAL CENTER","050093","CA","READM-30-PN-HRRP","1390","","1.1209","18.6","16.6","265","01-JUL-13","30-JUN-16"
"ADVENTIST HEALTH SONORA","050335","CA","READM-30-HF-HRRP","283","","0.9175","18.8","20.5","48","01-JUL-13","30-JUN-16"
"LODI MEMORIAL HOSPITAL","050336","CA","READM-30-COPD-HRRP","332","","1.0096","19.1","18.9","64","01-JUL-13","30-JUN-16"
"BEVERLY HOSPITAL","050350","CA","READM-30-COPD-HRRP","133","","1.0122","21.1","20.9","29","01-JUL-13","30-JUN-16"
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","050353","CA","READM-30-HF-HRRP","501","","0.9583","21.7","22.6","106","01-JUL-13","30-JUN-16"
"TULARE REGIONAL MEDICAL CENTER","050359","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SCRIPPS GREEN HOSPITAL","050424","CA","READM-30-CABG-HRRP","Not Available","","1.0129","12.8","12.6","Too Few to Report","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL","050510","CA","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - FREMONT","050512","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - FREMONT","050512","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VICTOR VALLEY GLOBAL MEDICAL CENTER","050517","CA","READM-30-HF-HRRP","91","","1.1114","25.5","23.0","30","01-JUL-13","30-JUN-16"
"HUNTINGTON BEACH HOSPITAL","050526","CA","READM-30-AMI-HRRP","Not Available","","1.0175","20.0","19.6","Too Few to Report","01-JUL-13","30-JUN-16"
"JOHN F KENNEDY MEMORIAL HOSPITAL","050534","CA","READM-30-HF-HRRP","102","","0.9303","21.0","22.6","17","01-JUL-13","30-JUN-16"
"LOS ANGELES COMMUNITY HOSPITAL","050663","CA","READM-30-HF-HRRP","76","","1.0940","27.6","25.3","27","01-JUL-13","30-JUN-16"
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER","050668","CA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSP SO SACRAMENTO","050674","CA","READM-30-HF-HRRP","49","","1.0093","21.3","21.1","11","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","050677","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MENIFEE VALLEY MEDICAL CENTER","050684","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAN RAMON REGIONAL MEDICAL CTR","050689","CA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9685","3.8","3.9","Too Few to Report","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL-SANTA ROSA","050690","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PATIENTS' HOSPITAL OF REDDING","050697","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FRESNO SURGICAL HOSPITAL","050708","CA","READM-30-HIP-KNEE-HRRP","1657","","0.8302","3.0","3.6","46","01-JUL-13","30-JUN-16"
"DESERT VALLEY HOSPITAL","050709","CA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - FRESNO","050710","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - FRESNO","050710","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","050717","CA","READM-30-COPD-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MISSION HOSPITAL REGIONAL MED CENTER","050567","CA","READM-30-AMI-HRRP","265","","0.9545","14.3","15.0","35","01-JUL-13","30-JUN-16"
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","050570","CA","READM-30-CABG-HRRP","59","","1.1053","16.9","15.3","13","01-JUL-13","30-JUN-16"
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","READM-30-COPD-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LOS ALAMITOS MEDICAL CENTER","050551","CA","READM-30-AMI-HRRP","119","","0.9400","15.1","16.1","14","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE","050609","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","READM-30-COPD-HRRP","206","","0.9408","16.7","17.7","30","01-JUL-13","30-JUN-16"
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","READM-30-HF-HRRP","171","","0.9562","17.3","18.1","27","01-JUL-13","30-JUN-16"
"POMERADO HOSPITAL","050636","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EAST LOS ANGELES DOCTORS HOSPITAL","050641","CA","READM-30-COPD-HRRP","46","","1.0588","21.0","19.9","14","01-JUL-13","30-JUN-16"
"LAC/HARBOR-UCLA MED CENTER","050376","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PACIFICA HOSPITAL OF THE VALLEY","050378","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050380","CA","READM-30-CABG-HRRP","96","","1.1040","13.7","12.5","16","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050380","CA","READM-30-HIP-KNEE-HRRP","558","","0.9792","4.0","4.1","22","01-JUL-13","30-JUN-16"
"HEMET VALLEY MEDICAL CENTER","050390","CA","READM-30-AMI-HRRP","Not Available","","0.9594","18.1","18.9","Too Few to Report","01-JUL-13","30-JUN-16"
"HEMET VALLEY MEDICAL CENTER","050390","CA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9359","5.9","6.4","Too Few to Report","01-JUL-13","30-JUN-16"
"COALINGA REGIONAL MEDICAL CENTER","050397","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHINESE HOSPITAL","050407","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHINESE HOSPITAL","050407","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MERCY HOSPITAL OF FOLSOM","050414","CA","READM-30-HF-HRRP","268","","0.9530","18.6","19.5","47","01-JUL-13","30-JUN-16"
"SUTTER COAST HOSPITAL","050417","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SUTTER COAST HOSPITAL","050417","CA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PALO VERDE HOSPITAL","050423","CA","READM-30-COPD-HRRP","Not Available","","0.9905","16.2","16.3","Too Few to Report","01-JUL-13","30-JUN-16"
"PALO VERDE HOSPITAL","050423","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ENLOE MEDICAL CENTER","050039","CA","READM-30-CABG-HRRP","194","","1.0124","15.3","15.1","30","01-JUL-13","30-JUN-16"
"ST ELIZABETH COMMUNITY HOSPITAL","050042","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EL CENTRO REGIONAL MEDICAL CENTER","050045","CA","READM-30-HF-HRRP","278","","0.9692","21.6","22.2","58","01-JUL-13","30-JUN-16"
"EL CENTRO REGIONAL MEDICAL CENTER","050045","CA","READM-30-PN-HRRP","426","","0.9562","16.1","16.8","66","01-JUL-13","30-JUN-16"
"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","050055","CA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9170","3.4","3.7","Too Few to Report","01-JUL-13","30-JUN-16"
"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","050055","CA","READM-30-PN-HRRP","157","","1.0474","16.2","15.4","28","01-JUL-13","30-JUN-16"
"OAK VALLEY HOSPITAL DISTRICT","050067","CA","READM-30-HIP-KNEE-HRRP","Not Available","","1.1055","4.6","4.1","Too Few to Report","01-JUL-13","30-JUN-16"
"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","050305","CA","READM-30-COPD-HRRP","131","","0.9603","19.1","19.8","22","01-JUL-13","30-JUN-16"
"EL CAMINO HOSPITAL","050308","CA","READM-30-AMI-HRRP","243","","1.0934","15.4","14.1","43","01-JUL-13","30-JUN-16"
"EL CAMINO HOSPITAL","050308","CA","READM-30-CABG-HRRP","89","","0.9777","13.1","13.4","11","01-JUL-13","30-JUN-16"
"EL CAMINO HOSPITAL","050308","CA","READM-30-HF-HRRP","587","","0.8488","16.6","19.6","88","01-JUL-13","30-JUN-16"
"SUTTER ROSEVILLE MEDICAL CENTER","050309","CA","READM-30-HF-HRRP","597","","0.8410","17.3","20.6","93","01-JUL-13","30-JUN-16"
"SUTTER TRACY COMMUNITY HOSPITAL","050313","CA","READM-30-PN-HRRP","166","","0.9337","16.2","17.4","23","01-JUL-13","30-JUN-16"
"KERN MEDICAL CENTER","050315","CA","READM-30-PN-HRRP","Not Available","","1.0743","16.1","15.0","Too Few to Report","01-JUL-13","30-JUN-16"
"HIGHLAND HOSPITAL","050320","CA","READM-30-COPD-HRRP","69","","0.9902","18.4","18.6","12","01-JUL-13","30-JUN-16"
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","050324","CA","READM-30-HF-HRRP","351","","0.9180","19.1","20.8","62","01-JUL-13","30-JUN-16"
"LOMA LINDA UNIVERSITY MEDICAL CENTER","050327","CA","READM-30-COPD-HRRP","102","","1.1201","23.9","21.3","33","01-JUL-13","30-JUN-16"
"LOMA LINDA UNIVERSITY MEDICAL CENTER","050327","CA","READM-30-PN-HRRP","305","","1.0529","19.0","18.1","61","01-JUL-13","30-JUN-16"
"SONOMA WEST MEDICAL CENTER","050781","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LONGMONT UNITED HOSPITAL","060003","CO","READM-30-COPD-HRRP","228","","0.9625","16.5","17.2","35","01-JUL-13","30-JUN-16"
"MONTROSE MEMORIAL HOSPITAL","060006","CO","READM-30-HF-HRRP","Not Available","","0.8627","15.4","17.9","Too Few to Report","01-JUL-13","30-JUN-16"
"SAN LUIS VALLEY HEALTH","060008","CO","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"POUDRE VALLEY HOSPITAL","060010","CO","READM-30-HF-HRRP","333","","0.8674","16.9","19.5","48","01-JUL-13","30-JUN-16"
"DENVER HEALTH MEDICAL CENTER","060011","CO","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PRESBYTERIAN ST LUKES MEDICAL CENTER","060014","CO","READM-30-AMI-HRRP","Not Available","","0.9778","14.3","14.6","Too Few to Report","01-JUL-13","30-JUN-16"
